Brand,Model,Price,Kms_driven,Fuel_type,Transmission,Ownership,Rating,State
2011 Maruti Ritz,VXI,₹1.49 lakh,92.76k km,Petrol,Manual,1st owner,Verified Owner,
2022 Mahindra XUV700,AX 5 P AT 5 STR,₹12.70 lakh,16.75k km,Petrol,Auto,2nd owner,,
2014 Maruti Alto 800,VXI,₹2.30 lakh,98.33k km,Petrol,Manual,2nd owner,Verified Dealer,
2018 Maruti Alto K10,VXI,₹2.87 lakh,42.03k km,Petrol,Manual,1st owner,CARS24 Assured,
2020 Tata NEXON,XM PETROL,₹6.00 lakh,50.50k km,Petrol,Manual,1st owner,Verified Owner,
2018 Renault Kwid,RXT 0.8,₹2.82 lakh,74.76k km,Petrol,Manual,1st owner,,
2022 Tata PUNCH,PURE MT,₹5.47 lakh,41.19k km,Petrol,Manual,1st owner,Verified Owner,
2016 Maruti Alto 800,LXI,₹2.03 lakh,25.78k km,Petrol,Manual,1st owner,CARS24 Assured,
2023 Renault Kwid,CLIMBER AMT 1.0,₹4.99 lakh,5.71k km,Petrol,Auto,1st owner,,
2014 Volkswagen Vento,COMFORTLINE 1.6,₹3.25 lakh,49.66k km,Petrol,Manual,1st owner,CARS24 Assured,
2016 Volkswagen Ameo,HIGHLINE1.2L,₹3.97 lakh,1.0L km,Petrol,Manual,2nd owner,,
2022 Maruti New Wagon-R,ZXI PLUS 1.2,₹6.06 lakh,34.62k km,Petrol,Manual,1st owner,Verified Owner,
2013 Hyundai i20,SPORTZ 1.2,₹2.66 lakh,33.18k km,Petrol,Manual,1st owner,CARS24 Assured,
2016 Renault Kwid,RXT 1.0 AMT,₹2.89 lakh,36.10k km,Petrol,Auto,1st owner,CARS24 Assured,
2022 Maruti Baleno,ALPHA 1.2 AGS,₹7.65 lakh,40.21k km,Petrol,Auto,1st owner,CARS24 Assured,
2016 Maruti Wagon R 1.0,VXI,₹2.73 lakh,78.10k km,Petrol,Manual,2nd owner,CARS24 Assured,
2022 Maruti New Wagon-R,VXI 1.0,₹5.22 lakh,8.32k km,Petrol,Manual,1st owner,Verified Owner,
2013 Hyundai i20,SPORTZ 1.2,₹3.25 lakh,88.31k km,CNG,Manual,1st owner,,
2020 Hyundai Elite i20,MAGNA PLUS 1.2,₹5.18 lakh,46.83k km,Petrol,Manual,1st owner,,
2012 Nissan Sunny,XL DIESEL,₹2.27 lakh,1.2L km,Diesel,Manual,2nd owner,CARS24 Assured,
2022 Maruti S PRESSO,VXI+,₹3.77 lakh,34.10k km,Petrol,Manual,1st owner,CARS24 Assured,"Kharbi, Nagpur"
2023 Hyundai ALCAZAR,SIGNATURE (O) DCT 1.5 PETROL 7STR,₹24.61 lakh,11.60k km,Petrol,Auto,1st owner,Verified Owner,Maroof Ganj Gaya Bihar
2015 Honda City,1.5L I-VTEC V MT,₹4.80 lakh,45.54k km,Petrol,Manual,1st owner,CARS24 Assured,"Vaishali, Ghaziabad"
2021 KIA SELTOS,HTK 1.5 PETROL,₹8.28 lakh,63.60k km,CNG,Manual,1st owner,CARS24 Assured,"Metro Walk, Rohini, New Delhi"
2013 Maruti Alto K10,LXI,₹1.64 lakh,23.15k km,Petrol,Manual,1st owner,CARS24 Assured,"Metro Walk, Rohini, New Delhi"
2013 Maruti Swift Dzire,VXI,₹2.30 lakh,84.38k km,Petrol,Manual,3rd owner,Verified Owner,Kidwai Nagar Kanpur
2022 Tata TIGOR,XZ PLUS CNG,₹6.10 lakh,51.50k km,CNG,Manual,1st owner,CARS24 Assured,"Gaur City mall, Multilevel parking, Greater Noida"
2014 Honda Brio,S MT,₹2.36 lakh,49.46k km,Petrol,Manual,1st owner,CARS24 Assured,"Gomti Nagar, Lucknow"
2019 Hyundai NEW SANTRO,,₹3.90 lakh,81.54k km,CNG,Manual,1st owner,CARS24 Assured,"Regency Anantam, Dombivli East"
2022 Nissan MAGNITE,XV TURBO CVT,₹6.14 lakh,59.42k km,Petrol,Auto,1st owner,CARS24 Assured,"Sector-18, Noida"
2018 Jeep Compass,SPORT 1.4 PETROL,₹10.47 lakh,33.91k km,Petrol,Manual,1st owner,CARS24 Assured,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
2016 Hyundai Elite i20,ERA 1.4 CRDI,₹3.72 lakh,67.79k km,Diesel,Manual,1st owner,Verified Owner,Nazirabad Satna Madhya Pradesh
2015 Maruti Baleno,DELTA PETROL 1.2,₹3.33 lakh,57.67k km,Petrol,Manual,2nd owner,CARS24 Assured,"Metro Walk, Rohini, New Delhi"
