Company,Model,Varient,Year,Price,Kms_driven,Fuel_type,Transmission,Ownership,OwnershipLE,Rating,State,Car_Age,Kms_Bucket,Price_log,Kms_driven_log
Maruti,Ritz,VXI,2011,149000,92760,Petrol,Manual,1st owner,1,Verified Owner,Unknown,14,High,11.91170829631447,11.4377815718202
Mahindra,XUV700,AX 5 P AT 5 STR,2022,1270000,16750,Petrol,Auto,2nd owner,2,Unverified,Unknown,3,Low,14.054528245836039,9.726213236963687
Maruti,Alto,VXI,2014,230000,98330,Petrol,Manual,2nd owner,2,Verified Dealer,Unknown,11,High,12.345838935721968,11.496094617558756
Maruti,Alto,VXI,2018,287000,42030,Petrol,Manual,1st owner,1,CARS24 Assured,Unknown,7,Medium,12.567240979056246,10.64616272024527
Tata,NEXON,XM PETROL,2020,600000,50500,Petrol,Manual,1st owner,1,Verified Owner,Unknown,5,High,13.304686600863562,10.829748417047593
Renault,Kwid,RXT 0.8,2018,282000,74760,Petrol,Manual,1st owner,1,Unverified,Unknown,7,High,12.549665896013254,11.22205163761701
Tata,PUNCH,PURE MT,2022,547000,41190,Petrol,Manual,1st owner,1,Verified Owner,Unknown,3,Medium,13.212205909556012,10.625975064872742
Maruti,Alto,LXI,2016,203000,25780,Petrol,Manual,1st owner,1,CARS24 Assured,Unknown,9,Medium,12.220966184120165,10.15739306550038
Renault,Kwid,CLIMBER AMT 1.0,2023,499000,5710,Petrol,Auto,1st owner,1,Unverified,Unknown,2,Low,13.120363378739663,8.650149418664864
Volkswagen,Vento,COMFORTLINE 1.6,2014,325000,49660,Petrol,Manual,1st owner,1,CARS24 Assured,Unknown,11,Medium,12.691583538230217,10.812975195790544
Volkswagen,Ameo,HIGHLINE1.2L,2016,397000,100000,Petrol,Manual,2nd owner,2,Unverified,Unknown,9,High,12.891694078557842,11.51293546492023
Maruti,New,ZXI PLUS 1.2,2022,606000,34620,Petrol,Manual,1st owner,1,Verified Owner,Unknown,3,Medium,13.314636915215106,10.452215713350586
Hyundai,i20,SPORTZ 1.2,2013,266000,33180,Petrol,Manual,1st owner,1,CARS24 Assured,Unknown,12,Medium,12.491255347155265,10.409732701928009
Renault,Kwid,RXT 1.0 AMT,2016,289000,36100,Petrol,Auto,1st owner,1,CARS24 Assured,Unknown,9,Medium,12.574185427296195,10.494075844768336
Maruti,Baleno,ALPHA 1.2 AGS,2022,765000,40210,Petrol,Auto,1st owner,1,CARS24 Assured,Unknown,3,Medium,13.547632419997361,10.601895869017545
Maruti,Wagon,VXI,2016,273000,78100,Petrol,Manual,2nd owner,2,CARS24 Assured,Unknown,9,High,12.51723073716405,11.265758139843117
Maruti,New,VXI 1.0,2022,522000,8320,Petrol,Manual,1st owner,1,Verified Owner,Unknown,3,Low,13.165424782571753,9.02653771890043
Hyundai,i20,SPORTZ 1.2,2013,325000,88310,CNG,Manual,1st owner,1,Unverified,Unknown,12,High,12.691583538230217,11.38861995414463
Hyundai,Elite,MAGNA PLUS 1.2,2020,518000,46830,Petrol,Manual,1st owner,1,Unverified,Unknown,5,Medium,13.157732451741687,10.754300655782611
Nissan,Sunny,XL DIESEL,2012,227000,120000,Diesel,Manual,2nd owner,2,CARS24 Assured,Unknown,13,Very High,12.33270970174018,11.695255355062795
Maruti,S,VXI+,2022,377000,34100,Petrol,Manual,1st owner,1,CARS24 Assured,Nagpur,3,Medium,12.840003118946523,10.43708198835482
Hyundai,ALCAZAR,SIGNATURE (O) DCT 1.5 PETROL 7STR,2023,2461000,11600,Petrol,Auto,1st owner,1,Verified Owner,Bihar,2,Low,14.716078735711998,9.358846580275406
Honda,City,1.5L I-VTEC V MT,2015,480000,45540,Petrol,Manual,1st owner,1,CARS24 Assured,Ghaziabad,10,Medium,13.081543466215237,10.726368298094252
KIA,SELTOS,HTK 1.5 PETROL,2021,828000,63600,CNG,Manual,1st owner,1,CARS24 Assured,Delhi,4,High,13.626769641096136,11.060384472475045
Maruti,Alto,LXI,2013,164000,23150,Petrol,Manual,1st owner,1,CARS24 Assured,Delhi,12,Medium,12.00762780434872,10.049793255125712
Maruti,Swift,VXI,2013,230000,84380,Petrol,Manual,3rd owner,3,Verified Owner,Kanpur,12,High,12.345838935721968,11.343097536757666
Tata,TIGOR,XZ PLUS CNG,2022,610000,51500,CNG,Manual,1st owner,1,CARS24 Assured,Noida,3,High,13.321215875492413,10.849356503939038
Honda,Brio,S MT,2014,236000,49460,Petrol,Manual,1st owner,1,CARS24 Assured,Lucknow,11,Medium,12.371591321286905,10.808939759229288
Hyundai,NEW,,2019,390000,81540,CNG,Manual,1st owner,1,CARS24 Assured,East,6,High,12.873904582205107,11.308861240217592
Nissan,MAGNITE,XV TURBO CVT,2022,614000,59420,Petrol,Auto,1st owner,1,CARS24 Assured,Noida,3,High,13.327751835792448,10.992402978225373
Jeep,Compass,SPORT 1.4 PETROL,2018,1047000,33910,Petrol,Manual,1st owner,1,CARS24 Assured,Bengaluru,7,Medium,13.861440444962055,10.431494724510879
Hyundai,Elite,ERA 1.4 CRDI,2016,372000,67790,Diesel,Manual,1st owner,1,Verified Owner,Pradesh,9,High,12.826651821423713,11.124184721754474
Maruti,Baleno,DELTA PETROL 1.2,2015,333000,57670,Petrol,Manual,2nd owner,2,CARS24 Assured,Delhi,10,High,12.715900771961074,10.96250972649727
Hyundai,i20,SPORTZ 1.4 CRDI,2013,194000,140000,Diesel,Manual,2nd owner,2,Verified Owner,Punjab,12,Very High,12.175618592671356,11.849404844423074
Honda,Amaze,1.2L I-VTEC S,2013,255000,54690,CNG,Manual,1st owner,1,CARS24 Assured,Garden,12,High,12.449022745701502,10.909454441052057
Hyundai,Eon,ERA +,2015,230000,48350,Petrol,Manual,3rd owner,3,CARS24 Assured,Yeswanthpur,10,Medium,12.345838935721968,10.786242183190828
Hyundai,Grand,,2015,355000,7940,Petrol,Manual,1st owner,1,CARS24 Assured,Delhi,10,Low,12.779875885354993,8.97979449089521
Renault,Kwid,RXL,2019,267000,17250,Petrol,Manual,1st owner,1,CARS24 Assured,Ahmedabad,6,Low,12.495007682693725,9.755625391793744
Maruti,Alto,LXI,2013,179000,22270,Petrol,Manual,1st owner,1,CARS24 Assured,Kolkata,12,Medium,12.095146671399466,10.01104066270085
Jeep,Compass,LIMITED (O) 1.4 PETROL AT,2018,959000,81360,Petrol,Auto,1st owner,1,CARS24 Assured,Hyderabad,7,High,13.7736473966179,11.306651321699022
Honda,Amaze,1.2L I-VTEC S,2015,316000,16200,Petrol,Manual,1st owner,1,CARS24 Assured,Gurugram,10,Low,12.663500657121004,9.692828247710418
Maruti,New,,2019,525000,69000,CNG,Manual,1st owner,1,Verified Dealer,Nashik,6,High,13.171155446333852,11.141876276228
Renault,Kwid,RXL,2020,330000,63890,Petrol,Manual,2nd owner,2,CARS24 Assured,Bangalore,5,High,12.706850963741102,11.064933785375604
Maruti,Ertiga,VDI SHVS,2017,999000,120000,Diesel,Manual,1st owner,1,Verified Owner,Forbesganj,8,Very High,13.81451105863119,11.695255355062795
Renault,Kwid,RXL,2016,232000,29950,Petrol,Manual,1st owner,1,CARS24 Assured,Ahmedabad,9,Medium,12.354496960983985,10.307317991967832
Hyundai,Xcent,S 1.2,2015,370000,64220,CNG,Manual,1st owner,1,CARS24 Assured,Ahmedabad,10,High,12.821260987319457,11.070085538995333
Maruti,Baleno,ALPHA PETROL 1.2,2018,452000,220000,Petrol,Manual,1st owner,1,Verified Owner,Rewa,7,Very High,13.021439671201302,12.301387370778713
Hyundai,Elite,,2019,525000,100000,CNG,Manual,1st owner,1,CARS24 Assured,Dehradun,6,High,13.171155446333852,11.51293546492023
Renault,Kwid,RXT 1.0 AMT,2018,359000,45400,Petrol,Auto,1st owner,1,CARS24 Assured,Hyderabad,7,Medium,12.791080452981857,10.723289410218579
Maruti,Swift,VXI,2016,341000,89250,Petrol,Manual,1st owner,1,CARS24 Assured,Delhi,9,High,12.739640688812674,11.399207904060908
